"nll","delAIC","modname","parname","value","low","high"
3223.12021853079,8.78799260954838,"AVN","r18.24",0.95882236035871,0.845,1.1
3223.20058591738,8.9487273827217,"AVS","r18.24",0.95440276828451,0.84,1.09
3230.81848321595,16.1845219798797,"A","r25.31",1.01998577913547,0.915,1.145
3230.31294508437,19.1734457167076,"AG","r25.31",1.01784839658559,0.915,1.145
3227.73803699954,14.0236295470422,"AN","r25.31",1.02011161861947,0.915,1.145
3227.8174745713,14.1825046905788,"AS","r25.31",1.02218293839721,0.92,1.145
3226.05884642953,8.66524840702732,"AT","r25.31",1.02205785942084,0.92,1.145
3225.39955816839,11.3466718847449,"ATG","r25.31",1.02029799504224,0.915,1.145
3222.80851033499,6.16457621794689,"ATN","r25.31",1.02146991968673,0.92,1.145
3222.92381575422,6.39518705641967,"ATS","r25.31",1.02382766216306,0.92,1.15
3226.00654695918,10.5606494663298,"ATU","r25.31",1.02020354388496,0.915,1.145
3225.34019665154,13.2279488510421,"ATUG","r25.31",1.01833471344199,0.915,1.145
3222.7782049096,8.10396536716235,"ATUN","r25.31",1.0200257762371,0.915,1.145
3222.8929491361,8.33345382016705,"ATUS","r25.31",1.02245188648186,0.92,1.15
3220.20646646024,2.96048846845497,"ATUV","r25.31",1.0107389740526,0.91,1.135
3219.84879650222,6.24514855240159,"ATUVG","r25.31",1.00881067288043,0.905,1.135
3217.72477824585,1.99711203967854,"ATUVN","r25.31",1.0105442334783,0.905,1.135
3217.84883284251,2.24522123298266,"ATUVS","r25.31",1.01309954036343,0.91,1.14
3220.21471668702,0.976988922012424,"ATV","r25.31",1.0114045187557,0.91,1.135
3219.85771241926,4.26298038649384,"ATVG","r25.31",1.00951879553921,0.905,1.135
3217.72622222602,0,"ATVN","r25.31",1.01083601307856,0.91,1.135
3217.8502927543,0.248141056563327,"ATVS","r25.31",1.01331046989271,0.91,1.14
3230.79471042321,18.1369763943858,"AU","r25.31",1.01870551249823,0.915,1.145
3230.28639205487,21.120339657703,"AUG","r25.31",1.01656539484226,0.915,1.14
3227.7278074162,16.0031703803797,"AUN","r25.31",1.01927130008518,0.915,1.145
3227.8070487018,16.1616529515668,"AUS","r25.31",1.02127478067313,0.915,1.145
3225.49782909501,11.5432137379812,"AUV","r25.31",1.00937409090951,0.905,1.135
3225.22217369134,14.9919029306475,"AUVG","r25.31",1.00705880485849,0.905,1.13
3223.11915050076,10.7858565494807,"AUVN","r25.31",1.00982529014117,0.905,1.135
3223.19951890469,10.946593357351,"AUVS","r25.31",1.01202164149565,0.91,1.135
3225.49817944616,9.54391444028261,"AV","r25.31",1.00948363232346,0.905,1.135
